Dystans (m),Wysokość (m)
0,20.85444831848145
16.46910827424431,19.8922004699707
32.93821654848862,19.25937652587891
49.40732482273293,17.1521110534668
65.87643309697724,11.82219314575195
82.34554137122154,7.359794139862061
98.81464964546586,5.288625717163086
115.28375791971017,6.075514316558838
131.75286619395447,5.937919139862061
148.2219744681988,4.136603832244873
164.6910827424431,4.095895290374756
181.1601910166874,4.231267929077148
197.62929929093173,3.777459621429443
214.09840756517602,3.130998849868774
230.56751583942034,2.83826470375061
247.03662411366463,2.327359437942505
263.50573238790895,2.235390663146973
279.97484066215327,2.040772438049316
296.4439489363976,1.757441759109497
312.91305721064185,1.783169865608215
329.3821654848862,1.873938798904419
345.8512737591305,1.577318906784058
362.3203820333748,1.740230083465576
378.78949030761913,1.835617542266846
395.25859858186345,1.005653262138367
411.7277068561077,1.098895668983459
428.19681513035204,0.8638869524002075
444.66592340459636,0.96649169921875
461.1350316788407,0.7705603241920471
477.604139953085,0.9467772841453552
494.07324822732926,1.073631286621094
510.5423565015736,0.9820457696914673
527.0114647758179,0.9231973886489868
543.4805730500622,1.091741919517517
559.9496813243065,0.8029255867004395
576.4187895985508,0.8994818329811096
592.8878978727952,0.9960423111915588
609.3570061470394,0.972599983215332
625.8261144212837,1.008161425590515
642.2952226955281,1.048729062080383
658.7643309697723,1.356289386749268
675.2334392440167,1.104992270469666
691.702547518261,1.134355187416077
708.1716557925052,0.8879830837249756
724.6407640667496,1.090494871139526
741.1098723409939,1.083088636398315
757.5789806152383,1.120305299758911
774.0480888894825,0.9962107539176941
790.5171971637269,1.264050364494324
806.9863054379712,1.943072319030762
823.4554137122154,2.242274045944214
839.9245219864598,2.397822141647339
856.3936302607041,2.599906206130981
872.8627385349484,2.309448957443237
889.3318468091927,3.078595638275146
905.800955083437,3.580800771713257
922.2700633576814,3.398012161254883
938.7391716319256,3.648687124252319
955.20827990617,3.429432392120361
971.6773881804143,3.227049589157104
988.1464964546585,2.974832534790039
1004.6156047289029,2.912387609481812
1021.0847130031472,3.390263557434082
1037.5538212773915,3.006706476211548
1054.0229295516358,2.761527538299561
1070.49203782588,2.92171573638916
1086.9611461001243,2.527709007263184
1103.4302543743688,2.100252389907837
1119.899362648613,2.22765851020813
1136.3684709228573,2.283345937728882
1152.8375791971016,1.949360132217407
1169.3066874713459,1.632450819015503
1185.7757957455904,1.991681218147278
1202.2449040198346,1.919771075248718
1218.7140122940789,2.147163152694702
1235.1831205683231,2.174954652786255
1251.6522288425674,1.975748896598816
1268.121337116812,1.937956929206848
1284.5904453910562,1.754551887512207
1301.0595536653004,1.67559278011322
1317.5286619395447,1.462081670761108
1333.997770213789,1.828792452812195
1350.4668784880334,1.893871426582336
1366.9359867622777,2.856140613555908
1383.405095036522,2.403905630111694
1399.8742033107662,1.856661438941956
1416.3433115850105,2.082352161407471
1432.812419859255,1.982906818389893
1449.2815281334993,2.08401346206665
1465.7506364077435,1.877707958221436
1482.2197446819878,1.864624381065369
1498.688852956232,1.853467583656311
1515.1579612304765,1.690854072570801
1531.6270695047208,1.331420540809631
1548.096177778965,0.9506322145462036
1564.5652860532093,1.345197677612305
1581.0343943274538,0.9027794003486633
1597.503502601698,0.8738148808479309
1613.9726108759423,1.575794696807861
1630.4417191501866,1.773094415664673
1646.9108274244309,1.663686394691467
1663.3799356986754,1.639103651046753
1679.8490439729196,1.639615893363953
1696.3181522471639,1.936969518661499
1712.7872605214081,2.530370473861694
1729.2563687956524,2.541690349578857
1745.725477069897,2.505434274673462
1762.1945853441412,2.459383487701416
1778.6636936183854,2.390134572982788
1795.1328018926297,1.983972072601318
1811.601910166874,2.306414842605591
1828.0710184411184,3.261993885040283
1844.5401267153627,4.449456691741943
1861.009234989607,3.592239379882812
1877.4783432638512,2.437849521636963
1893.9474515380955,2.3677077293396
1910.41655981234,2.696256399154663
1926.8856680865842,2.752198934555054
1943.3547763608285,3.135944604873657
1959.8238846350728,3.071438789367676
1976.292992909317,3.206532716751099
1992.7621011835615,3.189830303192139
2009.2312094578058,3.076065540313721
2025.70031773205,3.176642179489136
2042.1694260062943,3.657650709152222
2058.638534280539,3.544732809066772
2075.107642554783,3.815536737442017
2091.5767508290273,3.995980262756348
2108.0458591032716,4.087703227996826
2124.514967377516,4.933173656463623
2140.98407565176,4.515497207641602
2157.4531839260044,4.387904644012451
2173.9222922002486,4.209698677062988
2190.3914004744934,4.403829097747803
2206.8605087487376,4.164027214050293
2223.329617022982,5.40966796875
2239.798725297226,7.536205291748047
2256.2678335714704,8.728155136108398
2272.7369418457147,10.20464324951172
2289.206050119959,9.573437690734863
2305.675158394203,8.971051216125488
2322.1442666684475,8.795196533203125
2338.6133749426917,8.64052963256836
2355.0824832169365,9.066479682922363
2371.5515914911807,9.384995460510254
2388.020699765425,9.447522163391113
2404.4898080396692,9.253185272216797
2420.9589163139135,8.497983932495117
2437.4280245881578,6.820096969604492
2453.897132862402,6.492897987365723
2470.3662411366463,8.06363296508789
2486.8353494108906,6.990799427032471
2503.304457685135,6.283944606781006
2519.7735659593795,5.803776264190674
2536.242674233624,4.960890769958496
2552.711782507868,4.80921459197998
2569.1808907821123,4.902251720428467
2585.6499990563566,5.21567440032959
2602.119107330601,5.736413955688477
2618.588215604845,5.604854583740234
2635.0573238790894,5.13934326171875
2651.5264321533336,5.997541904449463
2667.995540427578,5.757194042205811
2684.4646487018226,4.861918449401855
2700.933756976067,4.608452796936035
2717.402865250311,4.913043022155762
2733.8719735245554,5.587572574615479
2750.3410817987997,6.482187271118164
2766.810190073044,7.618481159210205
