Dystans (m),Wysokość (m)
8632.8570333325,1175.135986328125
8678.533525572355,1171.126586914062
8724.21001781221,1154.38427734375
8769.886510052063,1145.378295898438
8815.563002291918,1125.959838867188
8861.239494531772,1112.505126953125
8906.915986771626,1121.778076171875
8952.59247901148,1099.463134765625
8998.268971251337,1066.332397460938
9043.94546349119,1027.868408203125
9089.621955731045,979.6695556640625
9135.2984479709,944.7866821289062
9180.974940210754,916.4658203125
9226.651432450608,886.6250610351562
9272.327924690462,866.0067138671875
9318.004416930318,859.1281127929688
9363.680909170173,836.2872314453125
9409.357401410027,804.5498046875
9455.033893649881,784.6380004882812
9500.710385889735,766.056884765625
9546.38687812959,748.622802734375
9592.063370369444,739.506591796875
9637.739862609298,737.2415771484375
9683.416354849152,736.8300170898438
9729.092847089009,737.0282592773438
9774.769339328863,742.921875
9820.445831568717,760.7024536132812
9866.122323808571,785.19091796875
9911.798816048426,806.8965454101562
9957.47530828828,834.9558715820312
10003.151800528134,821.0921630859375
10048.82829276799,817.1543579101562
10094.504785007844,836.4030151367188
10140.181277247699,894.362060546875
10185.857769487553,940.0196533203125
10231.534261727407,956.2091674804688
10277.210753967262,968.01806640625
10322.887246207116,964.1542358398438
10368.56373844697,975.4488525390625
10414.240230686824,990.5283203125
10459.91672292668,1022.30615234375
10505.593215166535,1050.661376953125
10551.269707406389,1072.52294921875
10596.946199646243,1097.094848632812
10642.622691886098,1112.411743164062
10688.299184125952,1125.758666992188
10733.975676365806,1135.805541992188
10779.652168605662,1129.688354492188
10825.328660845516,1122.839111328125
10871.00515308537,1112.954711914062
10916.681645325225,1122.034790039062
10962.35813756508,1135.947387695312
11008.034629804934,1146.92236328125
11053.711122044788,1143.691772460938
11099.387614284642,1134.057861328125
11145.064106524496,1143.56689453125
11190.740598764352,1153.178833007812
11236.417091004207,1162.459594726562
11282.093583244061,1178.513671875
11327.770075483915,1202.129150390625
11373.44656772377,1218.464599609375
11419.123059963624,1213.0498046875
11464.799552203478,1208.403686523438
11510.476044443334,1190.651123046875
11556.152536683188,1161.58251953125
11601.829028923043,1134.034423828125
11647.505521162897,1115.452026367188
11693.182013402751,1093.36669921875
11738.858505642605,1061.784545898438
11784.53499788246,1064.339965820312
11830.211490122314,1057.653442382812
11875.887982362168,1059.563354492188
11921.564474602024,1057.188598632812
11967.240966841879,1023.353271484375
12012.917459081733,986.1759643554688
12058.593951321587,959.748291015625
12104.270443561441,929.35302734375
12149.946935801296,1035.340087890625
12195.62342804115,1102.823120117188
12241.299920281006,1152.134399414062
12286.97641252086,1169.265869140625
12332.652904760715,1177.459716796875
12378.329397000569,1183.10693359375
12424.005889240423,1188.485473632812
12469.682381480277,1189.721923828125
12515.358873720132,1190.14404296875
12561.035365959986,1190.734130859375
12606.71185819984,1191.391235351562
12652.388350439696,1194.589599609375
12698.06484267955,1200.810180664062
12743.741334919405,1217.792846679688
